#########################################################
####AHURATUS MEM ALLOCATOR#########WEEK08################
####EHSAN SHAGHAEI#################OS-FALL2020###########
#########################################################
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5553228  18004 455408    0    0     0     0   22  186  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   11  133  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   27  218  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0    8  111  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   27  208  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0    8  101  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   19  172  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   13  137  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   17  170  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   16  143  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   18  169  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   10  109  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   26  199  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0    8  110  0  0 100  0  0
 0  0      0 5553124  18004 455408    0    0     0     0   29  196  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0    9  102  0  0 100  0  0
 1  0      0 5553228  18004 455408    0    0     0     0   13  142  0  0 100  0  0
